Week,Course,TimePerWeek,,,,,,,,,,,,,,,
2,CS598 Practical Statistical Learning,4.5,,,,,,,,,,,,,,,
3,CS598 Practical Statistical Learning,5.3,,,,,,,,,,,,,,,
4,CS598 Practical Statistical Learning,18.3,,,,,,,,,,,,,,,
5,CS598 Practical Statistical Learning,6.6,,,,,,,,,,,,,,,
6,CS598 Practical Statistical Learning,12.2,,,,,,,,,,,,,,,
7,CS598 Practical Statistical Learning,8.4,,,,,,,,,,,,,,,
8,CS598 Practical Statistical Learning,12.6,,,,,,,,,,,,,,,
9,CS598 Practical Statistical Learning,9.0,,,,,,,,,,,,,,,
10,CS598 Practical Statistical Learning,12.5,,,,,,,,,,,,,,,
11,CS598 Practical Statistical Learning,11.0,,,,,,,,,,,,,,,
12,CS598 Practical Statistical Learning,0.7,,,,,,,,,,,,,,,
13,CS598 Practical Statistical Learning,6.0,,,,,,,,,,,,,,,
14,CS598 Practical Statistical Learning,11.6,,,,,,,,,,,,,,,
15,CS598 Practical Statistical Learning,10.0,,,,,,,,,,,,,,,
16,CS598 Practical Statistical Learning,3.5,,,,,,,,,,,,,,,
17,CS598 Practical Statistical Learning,16.3,,,,,,,,,,,,,,,
18,CS598 Practical Statistical Learning,0.0,,,,,,,,,,,,,,,
1,CS441 Applied Machine Learning,5.2,,,,,,,,,,,,,,,
2,CS441 Applied Machine Learning,10.9,,,,,,,,,,,,,,,
3,CS441 Applied Machine Learning,8.1,,,,,,,,,,,,,,,
4,CS441 Applied Machine Learning,5.8,,,,,,,,,,,,,,,
5,CS441 Applied Machine Learning,0.0,,,,,,,,,,,,,,,
6,CS441 Applied Machine Learning,0.0,,,,,,,,,,,,,,,
7,CS441 Applied Machine Learning,0.0,,,,,,,,,,,,,,,
8,CS441 Applied Machine Learning,0.7,,,,,,,,,,,,,,,
9,CS441 Applied Machine Learning,2.8,,,,,,,,,,,,,,,
10,CS441 Applied Machine Learning,0.9,,,,,,,,,,,,,,,
11,CS441 Applied Machine Learning,1.8,,,,,,,,,,,,,,,
12,CS441 Applied Machine Learning,14.6,,,,,,,,,,,,,,,
13,CS441 Applied Machine Learning,6.4,,,,,,,,,,,,,,,
14,CS441 Applied Machine Learning,0.2,,,,,,,,,,,,,,,
15,CS441 Applied Machine Learning,0.0,,,,,,,,,,,,,,,
16,CS441 Applied Machine Learning,0.0,,,,,,,,,,,,,,,
17,CS441 Applied Machine Learning,0.0,,,,,,,,,,,,,,,
18,CS441 Applied Machine Learning,0.0,,,,,,,,,,,,,,,
1,CS416 Data Visualization,1.3,,,,,,,,,,,,,,,
2,CS416 Data Visualization,9.9,,,,,,,,,,,,,,,
3,CS416 Data Visualization,0.6,,,,,,,,,,,,,,,
4,CS416 Data Visualization,8.4,,,,,,,,,,,,,,,
5,CS416 Data Visualization,6.9,,,,,,,,,,,,,,,
6,CS416 Data Visualization,18.1,,,,,,,,,,,,,,,
7,CS416 Data Visualization,2.5,,,,,,,,,,,,,,,
8,CS416 Data Visualization,6.1,,,,,,,,,,,,,,,
9,CS416 Data Visualization,2.7,,,,,,,,,,,,,,,
10,CS416 Data Visualization,2.9,,,,,,,,,,,,,,,
11,CS416 Data Visualization,4.7,,,,,,,,,,,,,,,
12,CS416 Data Visualization,0.0,,,,,,,,,,,,,,,
13,CS416 Data Visualization,0.0,,,,,,,,,,,,,,,
14,CS416 Data Visualization,0.0,,,,,,,,,,,,,,,
15,CS416 Data Visualization,0.0,,,,,,,,,,,,,,,
16,CS416 Data Visualization,0.0,,,,,,,,,,,,,,,
17,CS416 Data Visualization,0.0,,,,,,,,,,,,,,,
18,CS416 Data Visualization,0.0,,,,,,,,,,,,,,,
